,date,link,location,movie,time
0,May 12th,http://cinespia.org/event/the-neverending-story/,Hollywood Forever Cemetery,The Neverending Story,8:30PM
1,May 19th,http://cinespia.org/event/drive/,Hollywood Forever Cemetery,Drive,8:30PM
2,May 26th,http://cinespia.org/event/almost-famous-2/,Hollywood Forever Cemetery,Almost Famous,8:30PM
3,May 27th,http://cinespia.org/event/casablanca-2/,Hollywood Forever Cemetery,Casablanca,8:30PM
4,June 2nd,http://cinespia.org/event/spirited-away/,Hollywood Forever Cemetery,Spirited Away,9PM
5,June 9th,http://cinespia.org/event/to-wong-foo-thanks-for-everything-julie-newmar/,Hollywood Forever Cemetery,"To Wong Foo, Thanks for Everything! Julie Newmar",9pm
6,June 16th,http://cinespia.org/event/alien/,Hollywood Forever Cemetery,Alien (1979),9pm
7,June 23rd,http://cinespia.org/event/raiders-of-the-lost-ark/,Hollywood Forever Cemetery,Raiders of the Lost Ark,9pm
8,June 30th,http://cinespia.org/event/vertigo-2/,Hollywood Forever Cemetery,Vertigo,9pm
9,June 2nd,http://cinespia.org/event/spirited-away/,Hollywood Forever Cemetery,Spirited Away,9PM
10,June 9th,http://cinespia.org/event/to-wong-foo-thanks-for-everything-julie-newmar/,Hollywood Forever Cemetery,"To Wong Foo, Thanks for Everything! Julie Newmar",9pm
11,June 16th,http://cinespia.org/event/alien/,Hollywood Forever Cemetery,Alien (1979),9pm
12,June 23rd,http://cinespia.org/event/raiders-of-the-lost-ark/,Hollywood Forever Cemetery,Raiders of the Lost Ark,9pm
13,June 30th,http://cinespia.org/event/vertigo-2/,Hollywood Forever Cemetery,Vertigo,9pm
