,date,movie,location,time,link
0,2018-05-8, The Seventh Seal, Bing Theater                      ,1:00 PM ,http://www.lacma.org/event/seventh-seal
1,2018-05-10, Free Screening: The Gospel According to André, Bing Theater                      ,7:30 PM ,http://www.lacma.org/event/gospel-according-andré
2,2018-05-15, Wild Strawberries, Bing Theater                      ,1:00 PM ,http://www.lacma.org/event/wild-strawberries
3,2018-05-17, Free Members-Only Screening: The Tale, Bing Theater                      ,7:30 PM ,http://www.lacma.org/event/tale
4,2018-05-18, Free Screening: American Animals, Bing Theater                      ,7:30 PM ,http://www.lacma.org/event/american-animals
5,2018-05-21, Film Premier: Kanoon, Bing Theater                      ,7:00 PM ,http://www.lacma.org/event/film-premier-kanoon
6,2018-05-22, The Magician, Bing Theater                      ,1:00 PM ,http://www.lacma.org/event/magician
7,2018-05-24, Bring the Noise—Night of the Living Dead, Bing Theater                      ,7:30 PM ,http://www.lacma.org/event/night-living-dead
8,2018-05-29, The Virgin Spring, Bing Theater                      ,1:00 PM ,http://www.lacma.org/event/virgin-spring
9,2018-05-31, Free Members-Only Screening: Won’t You Be My Neighbor, Bing Theater                      ,7:30 PM ,http://www.lacma.org/event/won’t-you-be-my-neighbor
10,2018-06-5, The Kid, Bing Theater                      ,1:00 PM ,http://www.lacma.org/event/kid-0
11,2018-06-12, City Lights, Bing Theater                      ,1:00 PM ,http://www.lacma.org/event/city-lights-0
12,2018-06-19, Modern Times, Bing Theater                      ,1:00 PM ,http://www.lacma.org/event/modern-times-0
13,2018-06-26, The Great Dictator, Bing Theater                      ,1:00 PM ,http://www.lacma.org/event/great-dictator
