,date,movie,location,time,link
0,2019-03-05,Skatetown U.S.A.             ,The New Beverly,7:30 pm,http://thenewbev.com/program/march-5-skatetown-u-s-a-roller-boogie/
1,2019-03-05,Roller Boogie,The New Beverly,9:40 pm,http://thenewbev.com/program/march-5-skatetown-u-s-a-roller-boogie/
2,2019-03-06,Gaslight,The New Beverly,2:00 pm,http://thenewbev.com/program/march-6-gaslight-afternoon-classics/
3,2019-03-06,The Take (1974)             ,The New Beverly,7:30 pm,http://thenewbev.com/program/march-6-the-take-nighthawks/
4,2019-03-06,Nighthawks,The New Beverly,9:30 pm,http://thenewbev.com/program/march-6-the-take-nighthawks/
5,2019-03-07,The Take (1974)             ,The New Beverly,7:30 pm,http://thenewbev.com/program/march-7-the-take-nighthawks/
6,2019-03-07,Nighthawks,The New Beverly,9:30 pm,http://thenewbev.com/program/march-7-the-take-nighthawks/
7,2019-03-08,One Flew Over the Cuckoo’s Nest             ,The New Beverly,6:30 pm,http://thenewbev.com/program/march-8-one-flew-over-the-cuckoos-nest-the-crazy-world-of-julius-vrooder/
8,2019-03-08,The Crazy World of Julius Vrooder,The New Beverly,9:15 pm,http://thenewbev.com/program/march-8-one-flew-over-the-cuckoos-nest-the-crazy-world-of-julius-vrooder/
9,2019-03-08,Kill Bill: Volume 2,The New Beverly,11:59 pm,http://thenewbev.com/program/march-8-kill-bill-volume-2-midnight-show/
10,2019-03-09,Cartoon Club,The New Beverly,10:00 am,http://thenewbev.com/program/march-9-cartoon-club/
11,2019-03-09,Phar Lap,The New Beverly,2:00 pm,http://thenewbev.com/program/march-9-phar-lap-kiddee-matinee/
12,2019-03-09,One Flew Over the Cuckoo’s Nest             ,The New Beverly,6:30 pm,http://thenewbev.com/program/march-9-one-flew-over-the-cuckoos-nest-the-crazy-world-of-julius-vrooder/
13,2019-03-09,The Crazy World of Julius Vrooder,The New Beverly,9:15 pm,http://thenewbev.com/program/march-9-one-flew-over-the-cuckoos-nest-the-crazy-world-of-julius-vrooder/
14,2019-03-09,The Groove Tube,The New Beverly,11:59 pm,http://thenewbev.com/program/march-9-the-groove-tube-midnight-show/
15,2019-03-10,Phar Lap,The New Beverly,2:00 pm,http://thenewbev.com/program/march-10-phar-lap-kiddee-matinee/
16,2019-03-10,The Case Against Brooklyn             ,The New Beverly,6:30 pm,http://thenewbev.com/program/march-10-the-case-against-brooklyn-tarawa-beachhead/
17,2019-03-10,Tarawa Beachhead,The New Beverly,8:20 pm,http://thenewbev.com/program/march-10-the-case-against-brooklyn-tarawa-beachhead/
18,2019-03-11,Clueless,The New Beverly,2:00 pm,http://thenewbev.com/program/march-11-clueless-monday-matinees/
19,2019-03-11,The Case Against Brooklyn             ,The New Beverly,7:30 pm,http://thenewbev.com/program/march-11-the-case-against-brooklyn-tarawa-beachhead/
20,2019-03-11,Tarawa Beachhead,The New Beverly,9:20 pm,http://thenewbev.com/program/march-11-the-case-against-brooklyn-tarawa-beachhead/
21,2019-03-12,Soul Brothers of Kung Fu             ,The New Beverly,7:30 pm,http://thenewbev.com/program/march-12-soul-brothers-of-kung-fu-the-image-of-bruce-lee/
22,2019-03-12,The Image of Bruce Lee,The New Beverly,9:35 pm,http://thenewbev.com/program/march-12-soul-brothers-of-kung-fu-the-image-of-bruce-lee/
23,2019-03-13,Mildred Pierce,The New Beverly,2:00 pm,http://thenewbev.com/program/march-13-mildred-pierce-afternoon-classics/
24,2019-03-13,J.W. Coop             ,The New Beverly,7:30 pm,http://thenewbev.com/program/march-13-j-w-coop-riding-tall/
25,2019-03-13,Riding Tall,The New Beverly,9:50 pm,http://thenewbev.com/program/march-13-j-w-coop-riding-tall/
26,2019-03-14,J.W. Coop             ,The New Beverly,7:30 pm,http://thenewbev.com/program/march-14-j-w-coop-riding-tall/
27,2019-03-14,Riding Tall,The New Beverly,9:50 pm,http://thenewbev.com/program/march-14-j-w-coop-riding-tall/
28,2019-03-15,Young Frankenstein             ,The New Beverly,7:00 pm,http://thenewbev.com/program/march-15-young-frankenstein-dead-men-dont-wear-plaid/
29,2019-03-15,Dead Men Don’t Wear Plaid,The New Beverly,9:15 pm,http://thenewbev.com/program/march-15-young-frankenstein-dead-men-dont-wear-plaid/
30,2019-03-15,Kill Bill: Volume 1,The New Beverly,11:59 pm,http://thenewbev.com/program/march-15-kill-bill-volume-1-midnight-show/
31,2019-03-16,The Man From Snowy River,The New Beverly,2:00 pm,http://thenewbev.com/program/march-16-the-man-from-snowy-river-kiddee-matinee/
32,2019-03-16,Young Frankenstein             ,The New Beverly,7:00 pm,http://thenewbev.com/program/march-16-young-frankenstein-dead-men-dont-wear-plaid/
33,2019-03-16,Dead Men Don’t Wear Plaid,The New Beverly,9:15 pm,http://thenewbev.com/program/march-16-young-frankenstein-dead-men-dont-wear-plaid/
34,2019-03-16,Tunnel Vision,The New Beverly,11:59 pm,http://thenewbev.com/program/march-16-tunnel-vision-midnight-show/
35,2019-03-17,The Man From Snowy River,The New Beverly,2:00 pm,http://thenewbev.com/program/march-17-the-man-from-snowy-river-kiddee-matinee/
36,2019-03-17,Darby O’Gill and the Little People (IB Tech Print)             ,The New Beverly,6:30 pm,http://thenewbev.com/program/march-17-darby-ogill-and-the-little-people-the-quiet-man/
37,2019-03-17,The Quiet Man (IB Tech Print),The New Beverly,8:30 pm,http://thenewbev.com/program/march-17-darby-ogill-and-the-little-people-the-quiet-man/
38,2019-03-18,Ravenous,The New Beverly,2:00 pm,http://thenewbev.com/program/march-18-ravenous-monday-matinees/
39,2019-03-18,Darby O’Gill and the Little People (IB Tech Print)             ,The New Beverly,7:30 pm,http://thenewbev.com/program/march-18-darby-ogill-and-the-little-people-the-quiet-man/
40,2019-03-18,The Quiet Man (IB Tech Print),The New Beverly,9:30 pm,http://thenewbev.com/program/march-18-darby-ogill-and-the-little-people-the-quiet-man/
41,2019-03-19,The Slumber Party Massacre (Special Guests)             ,The New Beverly,7:30 pm,http://thenewbev.com/program/march-19-the-slumber-party-massacre-sorority-house-massacre/
42,2019-03-19,Sorority House Massacre,The New Beverly,9:20 pm,http://thenewbev.com/program/march-19-the-slumber-party-massacre-sorority-house-massacre/
43,2019-03-20,The Three Faces of Eve,The New Beverly,2:00 pm,http://thenewbev.com/program/march-20-the-three-faces-of-eve-afternoon-classics/
44,2019-03-20,Fort Apache             ,The New Beverly,7:30 pm,http://thenewbev.com/program/march-20-fort-apache-ulzanas-raid/
45,2019-03-20,Ulzana’s Raid,The New Beverly,10:10 pm,http://thenewbev.com/program/march-20-fort-apache-ulzanas-raid/
46,2019-03-21,Fort Apache             ,The New Beverly,7:30 pm,http://thenewbev.com/program/march-21-fort-apache-ulzanas-raid/
47,2019-03-21,Ulzana’s Raid,The New Beverly,10:10 pm,http://thenewbev.com/program/march-21-fort-apache-ulzanas-raid/
48,2019-03-22,Monty Python and the Holy Grail             ,The New Beverly,7:00 pm,http://thenewbev.com/program/march-22-monty-python-and-the-holy-grail-the-meaning-of-life/
49,2019-03-22,Monty Python’s The Meaning of Life,The New Beverly,9:00 pm,http://thenewbev.com/program/march-22-monty-python-and-the-holy-grail-the-meaning-of-life/
50,2019-03-22,Kill Bill: Volume 2,The New Beverly,11:59 pm,http://thenewbev.com/program/march-22-kill-bill-volume-2-midnight-show/
51,2019-03-23,National Velvet,The New Beverly,2:00 pm,http://thenewbev.com/program/march-23-national-velvet-kiddee-matinee/
52,2019-03-23,Monty Python and the Holy Grail             ,The New Beverly,7:00 pm,http://thenewbev.com/program/march-23-monty-python-and-the-holy-grail-the-meaning-of-life/
53,2019-03-23,Monty Python’s The Meaning of Life,The New Beverly,9:00 pm,http://thenewbev.com/program/march-23-monty-python-and-the-holy-grail-the-meaning-of-life/
54,2019-03-23,Everything You Always Wanted to Know About Sex* But Were Afraid to Ask,The New Beverly,11:59 pm,http://thenewbev.com/program/march-23-everything-you-always-wanted-to-know-about-sex-but-were-afraid-to-ask-midnight-show/
55,2019-03-24,National Velvet,The New Beverly,2:00 pm,http://thenewbev.com/program/march-24-national-velvet-kiddee-matinee/
56,2019-03-24,The Mephisto Waltz             ,The New Beverly,6:30 pm,http://thenewbev.com/program/march-24-the-mephisto-waltz-special-delivery/
57,2019-03-24,Special Delivery,The New Beverly,8:50 pm,http://thenewbev.com/program/march-24-the-mephisto-waltz-special-delivery/
58,2019-03-25,Party Girl (Director in Person!),The New Beverly,2:00 pm,http://thenewbev.com/program/march-25-party-girl-monday-matinees/
59,2019-03-25,The Mephisto Waltz             ,The New Beverly,7:30 pm,http://thenewbev.com/program/march-25-the-mephisto-waltz-special-delivery/
60,2019-03-25,Special Delivery,The New Beverly,9:50 pm,http://thenewbev.com/program/march-25-the-mephisto-waltz-special-delivery/
61,2019-03-26,The Tattoo Connection             ,The New Beverly,7:30 pm,http://thenewbev.com/program/march-26-the-tattoo-connection-exit-the-dragon-enter-the-tiger/
62,2019-03-26,"Exit the Dragon, Enter the Tiger",The New Beverly,9:30 pm,http://thenewbev.com/program/march-26-the-tattoo-connection-exit-the-dragon-enter-the-tiger/
63,2019-03-27,Who’s Afraid of Virginia Woolf?,The New Beverly,2:00 pm,http://thenewbev.com/program/march-27-whos-afraid-of-virginia-woolf-afternoon-classics/
64,2019-03-27,Point Blank             ,The New Beverly,7:30 pm,http://thenewbev.com/program/march-27-point-blank-the-outfit/
65,2019-03-27,The Outfit,The New Beverly,9:30 pm,http://thenewbev.com/program/march-27-point-blank-the-outfit/
66,2019-03-28,Point Blank             ,The New Beverly,7:30 pm,http://thenewbev.com/program/march-28-point-blank-the-outfit/
67,2019-03-28,The Outfit,The New Beverly,9:30 pm,http://thenewbev.com/program/march-28-point-blank-the-outfit/
68,2019-03-29,La Strada             ,The New Beverly,6:30 pm,http://thenewbev.com/program/march-29-la-strada-il-bidone/
69,2019-03-29,Il Bidone,The New Beverly,8:50 pm,http://thenewbev.com/program/march-29-la-strada-il-bidone/
