,date,link,location,movie,time
0,2019-03-01,https://www.cinema.ucla.edu/events/2019/03/01/diary-of-chujis-travels,Billy Wilder Theater,A Diary of Chuji's Travels + Shorts,7:30 pm
1,2019-03-02,https://www.cinema.ucla.edu/events/2019/03/02/dragnet-girl,Billy Wilder Theater,Dragnet Girl + Shorts,7:30 pm
2,2019-03-03,https://www.cinema.ucla.edu/events/2018/03/03/silence,Billy Wilder Theater,Silence + Shorts,3:00 pm
3,2019-03-03,https://www.cinema.ucla.edu/events/2019/03/03/the-cheat,Billy Wilder Theater,The Cheat + Shorts,7:00 pm
4,2019-03-08,https://www.cinema.ucla.edu/events/2019/03/08/king-kong-miracle-woman,Billy Wilder Theater,King Kong  /  The Miracle Woman,7:30 pm
5,2019-03-09,https://www.cinema.ucla.edu/events/2018/03/09/meet-john-doe-most-dangerous-game,Billy Wilder Theater,Meet John Doe  /  The Most Dangerous Game,7:30 pm
6,2019-03-10,https://www.cinema.ucla.edu/events/2019/03/10/eagle-huntress,Billy Wilder Theater,The Eagle Huntress,11:00 am
7,2019-03-15,https://www.cinema.ucla.edu/events/2019/03/15/pat-rocco-tribute,Billy Wilder Theater,Pat Rocco Memorial Tribute and Screening,7:30 pm
8,2019-03-16,https://www.cinema.ucla.edu/events/2018/03/16/viva-villa-virtue,Billy Wilder Theater,Viva Villa!  /  Virtue,7:30 pm
9,2019-03-22,https://www.cinema.ucla.edu/events/2018/03/22/it-happened-one-night-richest-girl-in-the-world,Billy Wilder Theater,It Happened One Night  /  The Richest Girl in the World,7:30 pm
10,2019-03-23,https://www.cinema.ucla.edu/events/2010/03/23/stage-struck,Billy Wilder Theater,Stage Struck,7:30 pm
11,2019-03-30,https://www.cinema.ucla.edu/events/2019/03/30/wedding-march-american-madness,Billy Wilder Theater,The Wedding March  /  American Madness,7:30 pm
