,date,link,location,movie,time
0,2019-03-01,http://www.americancinemathequecalendar.com/content/shoot-the-piano-player-rope,AERO Theater,SHOOT THE PIANO PLAYER / ROPE,7:30pm
1,2019-03-02,http://www.americancinemathequecalendar.com/content/jules-and-jim-marnie,AERO Theater,JULES AND JIM / MARNIE,7:30pm
2,2019-03-02,http://www.americancinemathequecalendar.com/content/rocco-and-his-brothers-0,EGYPTIAN Theater,ROCCO AND HIS BROTHERS,7:30pm
3,2019-03-03,http://www.americancinemathequecalendar.com/content/annie-0,AERO Theater,ANNIE,4:00pm
4,2019-03-03,http://www.americancinemathequecalendar.com/content/conversation-piece-the-innocent,EGYPTIAN Theater,CONVERSATION PIECE / THE INNOCENT,7:30pm
5,2019-03-03,http://www.americancinemathequecalendar.com/content/the-39-steps-confidentially-yours,AERO Theater,THE 39 STEPS / CONFIDENTIALLY YOURS,7:30pm
6,2019-03-07,http://www.americancinemathequecalendar.com/content/two-for-the-road-shoot-the-moon,EGYPTIAN Theater,TWO FOR THE ROAD / SHOOT THE MOON,7:30pm
7,2019-03-08,http://www.americancinemathequecalendar.com/content/the-man-who-knew-too-much-the-bride-wore-black,AERO Theater,THE MAN WHO KNEW TOO MUCH / THE BRIDE WORE BLACK,7:30pm
8,2019-03-08,http://www.americancinemathequecalendar.com/content/miller%E2%80%99s-crossing-under-the-volcano,EGYPTIAN Theater,MILLER’S CROSSING / UNDER THE VOLCANO,7:30pm
9,2019-03-09,http://www.americancinemathequecalendar.com/content/boris-karloff-bela-lugosi-movie-marathon,EGYPTIAN Theater,Boris Karloff-Bela Lugosi Movie Marathon,2:00pm
10,2019-03-09,http://www.americancinemathequecalendar.com/content/rear-window-mississippi-mermaid,AERO Theater,REAR WINDOW / MISSISSIPPI MERMAID,7:30pm
11,2019-03-10,http://www.americancinemathequecalendar.com/content/war-and-peace-0,AERO Theater,WAR AND PEACE,2:00pm
12,2019-03-10,http://www.americancinemathequecalendar.com/content/tom-jones-big-fish,EGYPTIAN Theater,TOM JONES / BIG FISH,7:30pm
13,2019-03-11,http://www.americancinemathequecalendar.com/content/311-enlarged-to-show-detail-3-0,EGYPTIAN Theater,311: ENLARGED TO SHOW DETAIL 3,7:30pm
14,2019-03-13,http://www.americancinemathequecalendar.com/content/in-the-heat-of-the-night-0,EGYPTIAN Theater,IN THE HEAT OF THE NIGHT,7:30pm
15,2019-03-14,http://www.americancinemathequecalendar.com/content/dial-m-for-murder-the-glass-web,AERO Theater,DIAL M FOR MURDER / THE GLASS WEB,7:30pm
16,2019-03-15,http://www.americancinemathequecalendar.com/content/creature-from-the-black-lagoon-3,AERO Theater,CREATURE FROM THE BLACK LAGOON,7:30pm
17,2019-03-15,http://www.americancinemathequecalendar.com/content/highway-patrolman-walker,EGYPTIAN Theater,HIGHWAY PATROLMAN / WALKER,7:30pm
18,2019-03-16,http://www.americancinemathequecalendar.com/content/historic-egyptian-theatre-tour-40,EGYPTIAN Theater,Historic Egyptian Theatre Tour,10:30am
19,2019-03-16,http://www.americancinemathequecalendar.com/content/repo-man-tombstone-rashomon,EGYPTIAN Theater,REPO MAN / TOMBSTONE RASHOMON,7:30pm
20,2019-03-16,http://www.americancinemathequecalendar.com/content/severin%E2%80%99s-super-shock-pop-up-film-festival,EGYPTIAN Theater,Severin’s Super-Shock Pop-Up Film Festival,7:30pm
21,2019-03-16,http://www.americancinemathequecalendar.com/content/goodbye-to-language-1,AERO Theater,GOODBYE TO LANGUAGE,7:30pm
22,2019-03-17,http://www.americancinemathequecalendar.com/content/walt-disney-animation-studios-immersive-storytelling-through-3-d-cinematography,AERO Theater,Walt Disney Animation Studios: Immersive Storytelling through 3-D Cinematography,4:00pm
23,2019-03-17,http://www.americancinemathequecalendar.com/content/road-house-point-break,EGYPTIAN Theater,ROAD HOUSE / POINT BREAK,7:30pm
